form,city,ward,date,time,gender,seller_level_name,sellers_level_code,primary_drug_sold,secondary_drug_sold,3_stock_heroin_covid,3_stock_cocaine_covid,3_stock_meth_covid,4_g_heroin_sold_weekly_gms,4_g_cocaine_sold_weekly_gms,4_g_meth_sold_weekly_gms,5_heroin_sales_covid,5_cocaine_sales_covid,5_meth_sales,6_sell_to_sellers,6a_herion,6a_cocaine,6a_meth,6b_herion_units,6b_herion_g,6b_cocaine_units,6b_cocaine_g,6b_meth_units,6b_meth_grams,6c_herion,6c_cocaine,6c_meth,7_sell_to_users,7a_herion,7a_cocaine,7a_meth_,7b_herion_units,7b_herion_g,7b_cocaine_units,7b_cocaine_g,7b_meth_units,7b_meth_g,7c_herion,7c_cocaine,7c_meth,8_area_1,8_area_2,8_area_3,8_area_4,9_years_working,10_number_sellers_same_level,11_can_link
BLOKRM008,blm,Boshabela,9/09/2020,11h45,1,Snyman,1,3,4,,1,0,,15,25,,1,1,0,,,,,,,,,,,,,1,,5,15,,,1,1,5,1,,2,2,Boshabela Nthathisi Str,,,,4,6,0
BLOLP009,blm,,9/09/2020,15h09,2,,3,3,4,,0,0,,100,200,0,0,0,1,,50,100,,,50,50,100,100,,4,4,1,,,,,,,,,,,,,Own place,,,,5,15,0
BLOLM010,blm,Rockland 13,9/09/2020,14h21,1,,3,4,2,,1,1,,100,100,,0,0,1,,50,75,,,50,2.5,100,10,,4,4,1,,50,100,,,,,,,,,,Own place,,,,3,7,1
BLOMMT011,blm,Spotts,9/09/2020,13h52,1,Slaymen,1,4,0,,,1,,,3.2,,,2,0,,,,,,,,,,,,,1,,,9,,,,,2,0.4,,,2,Spotts,,,,1,3,1
BLOJBN012,blm,Heidedal,9/09/2020,12h05,2,Stev,2,3,1,1,0,,,20,,2,1,,1,6,17,,6,1.2,10,10,,,,,,1,10,20,,1,0.2,1,1,,,3,3,,Shamen Conor,,,,4,10,0
BLORMP013,blm,Thambo,10/09/2020,12h30,1,BraJorn,2,3,1,0,0,,20,30,,0,0,,1,10,5,,4,0.8,4,,,,3,3,,1,5,4,,5,1,2,2,,,4,4,,Thambo,,,,5,2,0
BLOKRM014,blm,Phase 4,9/09/2020,01h00,1,Waxs,1,2,0,,1,,,1.5,,,1,,0,,,,,,,,,,,,,1,,15,,,,6,0.3,,,,3,,Phase 4,,,,1,,0
BLOKRM015,blm,,9/09/2020,01h30,1,Panarokis,2,3,0,,0,,,15,,,0,,0,,,,,,,,,,,,,1,,20,,,,,0.5,,,,3,,Phase 4,,,,3,,0
BLOMN016,blm,Chris Hani,8/09/2020,13h10,2,Snyman,1,3,0,,0,,,20,,,1,,0,,,,,,,,,,,,,1,,25,,,,3,3,,,,1,,Chris Hani,,,,7,4,1
BLOLFP017,blm,4 Ways,9/09/2020,02h59,1,Snyman,1,1,4,0,,0,100,,200,1,,1,1,6,,15,20,4,,,100,20,2,,1,1,50,,100,4,0.8,,,1,0.2,2,,5,Town,Location,,,7,20,1
BLOWLB018,blm,,9/09/2020,02h30,1,,3,1,4,1,1,0,20,25,50,2,2,1,1,160,140,200,60,12,50,10,100,20,3,3,3,1,60,40,100,5,1,6,1.2,5,1,5,5,5,Downtown,Fairways,,,30,50,1
PTAGM001,pta,Mandela Bridge,16/09/2020,12h00,1,Makwera,1,1,2,1,1,,145.4,40,,2,2,,1,3,3,,100,20,100,5,,,2,3,,1,30,36,,2,0.4,3,0.15,,,3,3,,Berea,,,,5,7,1
PTAANZ002,pta,,16/09/2020,13h15,1,Dealer,2,2,1,1,1,,42,7,,2,2,,0,,,,,,,,,,,,,1,20,15,,3,0.6,2,0.1,,,3,3,,Mandela Bridge,,,,5,30,0
PTAANZ003,pta,Camoran,16/09/2020,14h40,1,,1,1,4,1,1,1,10,2,8,2,2,2,0,,,,,,,,,,,,,1,20,3,15,1,0.2,1,0.05,1,0.2,3,2,5,Gamorah,,,,4,2,0
PTAAJS004,pta,Daspoort,16/10/2020,12h30,1,,2,1,4,1,,1,600,,200,2,,2,1,5,,5,50,10,,,50,10,1,,1,1,100,,100,2,0.4,,,1,0.2,3,,3,PTA,,,,10,2,0
PTAMRT005,pta,Itirelena,16/09/2020,3h00,1,Spaceman,2,1,4,1,,1,140,,40,2,,2,0,,,,,,,,,,,,,1,300,,,3,0.6,,,,,3,,,,,,,8,3,0
PTARTS006,pta,Laudium - Downshop,16/09/2020,15h45,2,Runner,1,1,4,1,,1,140,,40,2,,2,0,,,,,,,,,,,,,1,200,,,5,1,,,,,3,,,,,,,7,2,0
PTATAM007,pta,Centurion,16/09/2020,15h10,1,Makwera,2,3,1,1,0,,400,200,,2,2,,0,,,,,,,,,,,,,1,,,,5,1,2,0.5,,,3,3,,Centurion,,,,1,2,0
PTAZLT008,pta,Centurion,16/09/2020,12h05,1,Sdumana,1,2,1,1,1,,,,,2,2,,0,,,,,,,,,,,,,1,20,15,,3,0.6,1,0.05,,,3,4,,Irene Station,,,,6-7 Months,4,0
PTAMLM009,pta,Mamelodi,16/09/2020,14h00,1,Snyman,2,1,0,1,,,20,,,2,,,0,,,,,,,,,,,,,1,10,,,1,0.2,,,,,3,,,BP Mahube,,,,5,7,0
